"model","chunk_words","overlap_words","k","split","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question","questions","recall_at_k","recall_ci_low","recall_ci_high","page_recall_at_k","mrr_at_k","context_truncation_risk"
"nomic-embed-text","800","50","10","all","768","2048","77","68.411336","1.063581","0.00219","50","0.92","0.8116149745493629","0.9684509967442093","1.0","0.6805","False"
"nomic-embed-text","800","100","1","all","768","2048","82","90.703041","1.063581","0.002391","50","0.42","0.2937479723456693","0.5576680331222217","0.56","0.42","False"
"nomic-embed-text","800","100","3","all","768","2048","82","90.703041","1.063581","0.002391","50","0.7","0.562493877226366","0.8089661091039063","0.82","0.5466666666666665","False"
"nomic-embed-text","800","100","5","all","768","2048","82","90.703041","1.063581","0.002391","50","0.78","0.6475818431054045","0.8724621377569771","0.88","0.5646666666666667","False"
"nomic-embed-text","800","100","10","all","768","2048","82","90.703041","1.063581","0.002391","50","0.84","0.7148551903823401","0.9166267863791231","0.94","0.5730793650793651","False"
"all-minilm","200","0","1","development","384","512","286","7.897197","0.440551","0.156294","35","0.45714285714285713","0.3046577363376085","0.6181054865986247","0.6571428571428571","0.45714285714285713","False"
"all-minilm","200","0","3","development","384","512","286","7.897197","0.440551","0.156294","35","0.6571428571428571","0.4915164687273671","0.7916850471731106","0.8857142857142857","0.5571428571428572","False"
"all-minilm","200","0","5","development","384","512","286","7.897197","0.440551","0.156294","35","0.6571428571428571","0.4915164687273671","0.7916850471731106","0.8857142857142857","0.5571428571428572","False"
"all-minilm","200","0","10","development","384","512","286","7.897197","0.440551","0.156294","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.9714285714285714","0.5647619047619048","False"
"all-minilm","200","50","1","development","384","512","381","9.993271","0.440551","0.006008","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.6571428571428571","0.5714285714285714","False"
"all-minilm","200","50","3","development","384","512","381","9.993271","0.440551","0.006008","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.8857142857142857","0.6428571428571429","False"
"all-minilm","200","50","5","development","384","512","381","9.993271","0.440551","0.006008","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9428571428571428","0.6614285714285715","False"
"all-minilm","200","50","10","development","384","512","381","9.993271","0.440551","0.006008","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","1.0","0.6695918367346938","False"
"all-minilm","200","100","1","development","384","512","570","14.860091","0.440551","0.009421","35","0.5428571428571428","0.38189451340137515","0.6953422636623914","0.6857142857142857","0.5428571428571428","False"
"all-minilm","200","100","3","development","384","512","570","14.860091","0.440551","0.009421","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8857142857142857","0.6428571428571429","False"
"all-minilm","200","100","5","development","384","512","570","14.860091","0.440551","0.009421","35","0.8","0.6410806339053748","0.899576805540992","0.9142857142857143","0.65","False"
